messageType,monitorType,monitorId,pointId,taskId,monitorPeriod,monitorFrequency
monitor-task,1,431610002634051584,421249448509837312,431610002487250944,-1,-1
monitor-task,2,431610002931847168,421249448509837312,431610002487250944,-1,-1
monitor-task,3,431610003078647808,421249448509837312,431610002487250944,1,1
monitor-task,1,432496766923968512,421249448509837312,432496766017998848,-1,-1
monitor-task,2,432496767502782464,421249448509837312,432496766017998848,-1,-1
monitor-task,3,432496768035459072,421249448509837312,432496766017998848,2,1
